ASV	BLAST_Top1_Accession	BLAST_Top1_TaxID	BLAST_Top1_Evalue	BLAST_Top1_Bitscore	BLAST_Top1_Pident	BLAST_Top1_Qcovus	BLAST_Top1_AlignmentLength	BLAST_AmbiguousTopHit	BLAST_SelectionStatus	BLAST_Top1_Kingdom	BLAST_Top1_Phylum	BLAST_Top1_Class	BLAST_Top1_Order	BLAST_Top1_Family	BLAST_Top1_Genus	BLAST_Top1_Species	BLAST_Top2_Accession	BLAST_Top2_Species	BLAST_Top2_Evalue	BLAST_Top2_Bitscore	BLAST_Top2_Pident	BLAST_Top2_Qcovus
3172b69504ea1e872af24e7b1e27224d	NR_198413	3031043	1.75e-128	456.0	99.611	91	257	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Xylodon_muchuanensis						
327ac8462f09dcda6956148eee117615	NR_103568	106018	3.59e-150	527.0	99.327	100	297	False	candidate_available	Eukaryota	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium_slooffiae						
3a527d6363a858cbdb36b1403f9f7df7	NR_165938	4979	5.22e-148	521.0	99.656	100	291	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella_oryzae						
3ad5201997e575e30a33b0927c35159e	NR_111674	1134119	3.9999999999999995e-130	461.0	99.242	96	264	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_mallochii						
3b4e11535ad357e303ef9030433d4713	NR_119729	643907	1.35e-142	503.0	99.644	100	281	True	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_colombiae	NR_119730	Cladosporium_pini-ponderosae	1.35e-142	503.0	99.644	100
3d70ec70dc3495e97569bc5f82356e79	NR_121299	5074	1.35e-142	503.0	99.644	100	281	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_brevicompactum	NR_138336	Penicillium_kongii	1.35e-142	503.0	99.644	100
489bc5e89193d4fe9dfdd84adf0546b3	NR_175188	2849271	3.21e-144	508.0	99.648	100	284	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Meruliaceae	Mycoaciella	Mycoaciella_efibulata						
49571ba106c5eaf7edcc41ad9aabb51c	NR_077145	5076	6.87e-140	494.0	99.64	100	278	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	6.87e-140	494.0	99.64	100
49bcc97c03a0653cb80f79c2c5f8b19a	NR_119386	42374	3.1700000000000003e-144	508.0	100.0	100	281	False	candidate_available	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida_dubliniensis						
4b5579bef6f79e98d1ff9397bb7673ce	NR_191198	2952681	1.38e-155	545.0	99.344	100	305	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis_rhombisporoides						
4c1a21b88f8f585d285a06ad0af7725c	NR_111674	1134119	6.98e-140	493.0	99.291	100	282	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_mallochii	NR_153273	Penicillium_exsudans	1.35e-123	439.0	100.0	86
4cff35afcd49a22c48b68822945290d1	NR_120057	1245691	1.25e-117	419.0	99.156	85	237	False	candidate_available	Eukaryota	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Ophiognomonia	Ophiognomonia_asiatica						
4d5cb465f36e34a074f27d4dd53f2b2d	NR_174830	2777685	2.97e-138	488.0	100.0	96	270	False	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Periconiaceae	Periconia	Periconia_celtidis						
50f4af150db8ec540493d2a0bf932341	NR_189881	2942256	6.98e-147	517.0	100.0	90	286	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetaceae	Fuscoporia	Fuscoporia_gilvoides						
51a98b7c5c93c54bda10caad99c364b6	NR_175192	2908110	8.55e-152	533.0	99.333	100	300	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Polyporales	Phanerochaetaceae	Phlebiopsis	Phlebiopsis_odontoidea						
546d990a90f7a2a349d951836ff0f2fd	NR_163515	5322	6.869999999999998e-134	474.0	99.623	90	265	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	Pleurotus_ostreatus						
55095aa38dc46f1e8131c392a0df9241	NR_130682	5207	5.73e-141	497.0	100.0	98	275	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_neoformans	NR_165941	Cryptococcus_gattii	2.44e-139	492.0	99.636	98
55e72fb625f146ef1f9405078ed9eb83	NR_111348	5061	1.35e-142	503.0	99.644	100	281	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_niger	NR_137513	Aspergillus_welwitschiae	1.35e-142	503.0	99.644	100
590132bd07b175817d210a561f31a4a7	NR_144900	101480	9.09e-126	447.0	99.603	90	252	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Trichophyton	Trichophyton_interdigitale	NR_144891	Trichophyton_tonsurans	6.9900000000000005e-121	430.0	99.177	86
59518884a6394f163c1fd8bf32724986	NR_138193	27293	9.66e-152	534.0	99.664	89	298	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Monosporozyma	Monosporozyma_servazzii						
5d9802182df7538d2c6be1cdfeb85659	NR_171802	1867788	1.56e-148	523.0	99.658	97	292	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Hymenochaetales	unclassified_Hymenochaetales_family	Peniophorella	Peniophorella_crystallifera						
63a2e674402c346299d4c1df81ed5836	NR_131265	63405	2.52e-81	299.0	99.405	90	168	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Onygenales	Arthrodermataceae	Microsporum	Microsporum_canis	NR_144883	Microsporum_audouinii	2.52e-81	299.0	99.405	90
6401d7680fa55a18a47abe7d71030afd	NR_130691	5478	1.26e-136	482.0	100.0	100	267	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus						
69cad094d1f2f95bff94506e12821dd6	NR_174639	749563	8.979999999999999e-126	447.0	99.6	94	250	False	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Boeremia	Boeremia_lycopersici	NR_156400	Neodidymella_thailandicum	3.820000000000001e-124	441.0	99.203	94
6a5dc5c1af3f771d468b04f61b6916d3	NR_121481	746128	5.69e-141	498.0	99.643	100	280	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus						
6c64590e8ec3b22dc5b0cc911ad3b68c	NR_120057	1245691	1.02e-118	424.0	99.578	85	237	False	candidate_available	Eukaryota	Ascomycota	Sordariomycetes	Diaporthales	Gnomoniaceae	Ophiognomonia	Ophiognomonia_asiatica						
7040a2dcaf918f6a747f01f90867b3ea	NR_077145	5076	0.0	632.0	100.0	100	350	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	0.0	632.0	100.0	100
71859ab7f1603ff9b3d59324e492f605	NR_154752	129131	4.69e-142	501.0	99.643	100	280	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_debeurmannianum						
73893c73559817285246302cf5b1f21a	NR_077145	5076	1.35e-142	503.0	99.644	100	281	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	1.35e-142	503.0	99.644	100
77af6915246bc6753bf0513efd3804c2	NR_077145	5076	3.1700000000000003e-144	508.0	100.0	100	281	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	3.1700000000000003e-144	508.0	100.0	100
780933a320c8e557970d7d3bb1a87d12	NR_130691	5478	1.6800000000000001e-167	585.0	100.0	100	324	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus						
78d5bf582cb2fe9ea6cd971854c4bbce	NR_130682	5207	7.25e-80	294.0	99.394	97	165	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_neoformans						
7ab51b82ee043df208fbd659506c728d	NR_130690	1328300	1.35e-142	503.0	99.644	100	281	False	candidate_available	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_keratoplasticum	NR_170733	Fusarium_tonkinense	1.64e-141	499.0	99.288	100
86c1a1016f87627c316841d03b0347aa	NR_111355	114524	1.2e-111	399.0	100.0	94	221	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_kudriavzevii	NR_138272	Saccharomyces_paradoxus	1.2e-111	399.0	100.0	87
874450a33ecf28c395b152e094cbba5c	NR_175033	798071	2e-140	496.0	99.639	99	277	False	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	Paraphoma_chrysanthemicola						
8ac0b9cd95572afa972fdb20098f4502	NR_119855	70808	3.86e-143	504.0	100.0	99	279	True	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_tenuissimum	NR_152267	Cladosporium_oxysporum	3.86e-143	504.0	100.0	99
8c4c1e27aeb937396303d685b8e472a5	NR_120178	1290441	4.27e-149	524.0	100.0	100	290	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Trechisporales	unclassified_Trechisporales_family	Sistotremastrum	Sistotremastrum_guttuliferum						
8c6d557c22bea487a508348e20b2f66c	NR_159865	246455	1.0100000000000002e-124	443.0	100.0	99	245	False	candidate_available	Eukaryota	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_foetens						
8ca94a5429d980fe4a4af8c8abeea96f	NR_154752	129131	4.69e-142	501.0	99.643	100	280	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_debeurmannianum						
905456212b0753912cb440d99f46a06a	NR_119729	643907	3.1700000000000003e-144	508.0	100.0	100	281	True	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_colombiae	NR_119730	Cladosporium_pini-ponderosae	3.1700000000000003e-144	508.0	100.0	100
91a7fbfb6202e3edbe0a45f2865e19c8	NR_171595	1974180	8.41e-139	490.0	99.281	100	278	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Trichocomaceae	Talaromyces	Talaromyces_adpressus						
94582dfd0163256b9ba66b217191b5d7	NR_125332	5476	3.1700000000000003e-144	508.0	100.0	100	281	False	candidate_available	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida_albicans						
949b5a88e5a1307133bfbfbbb4309acc	NR_138193	27293	9.66e-152	534.0	99.664	89	298	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Monosporozyma	Monosporozyma_servazzii						
97549e4fa4e4837c3b81d3f01db97dea	NR_125332	5476	1.03e-124	443.0	100.0	93	245	False	candidate_available	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida_albicans						
9ae2a0b56a08c0ec069c9b2e5a987df1	NR_119729	643907	1.64e-141	499.0	99.288	100	281	True	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_colombiae	NR_119730	Cladosporium_pini-ponderosae	1.64e-141	499.0	99.288	100
9cfae492e1e3f63b413eb2f4f1d5eee6	NR_171716	1508279	1.35e-142	503.0	99.644	100	281	False	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Setophaeosphaeria	Setophaeosphaeria_badalingensis	NR_171715	Setophaeosphaeria_hemerocallidis	1.64e-141	499.0	99.288	100
a0af600e9571d2458f95c090bdccea44	NR_198413	3031043	2.14e-127	452.0	99.222	91	257	False	candidate_available	Eukaryota	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Xylodon	Xylodon_muchuanensis						
a0f0fd169551be4f1d94ff06f51c2ca9	NR_121257	69793	2.09e-179	625.0	99.43	100	351	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_baarnense	NR_172392	Penicillium_caprifimosum	2.09e-179	625.0	99.43	100
a0fd778266947c5a5022b199532692d2	NR_121332	470172	3.14e-131	464.0	99.237	100	262	False	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_ossifragi	NR_119729	Cladosporium_colombiae	1.62e-128	456.0	99.608	97
a18789fb47a3a707fd63fa3b4051fac8	NR_130682	5207	3.1700000000000003e-144	508.0	100.0	100	281	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_neoformans	NR_171785	Cryptococcus_neoformans	3.1700000000000003e-144	508.0	100.0	100
a2b8668ae960ed60cbfefdcafa35d5ef	NR_131315	4909	2.06e-166	581.0	99.388	100	327	False	candidate_available	Eukaryota	Ascomycota	Pichiomycetes	Pichiales	Pichiaceae	Pichia	Pichia_kudriavzevii						
a5d3ae1fbaa69186a9e9039292c6e302	NR_131315	4909	1.7000000000000002e-167	586.0	99.694	100	327	False	candidate_available	Eukaryota	Ascomycota	Pichiomycetes	Pichiales	Pichiaceae	Pichia	Pichia_kudriavzevii						
a9f744b1b96b43b37db5e221ec38c5db	NR_126116	36080	1.35e-142	503.0	99.644	100	281	False	candidate_available	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Mucoraceae	Mucor	Mucor_circinelloides						
ad9491bf7adf542567e36638860807a3	NR_130667	129132	0.0	634.0	100.0	100	351	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis	NR_073246	Cutaneotrichosporon_mucoides	2.09e-179	625.0	99.43	100
aea3e03e30b06124e1d93a28dd05f1e6	NR_119729	643907	1.64e-141	499.0	99.288	100	281	True	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Cladosporiales	Cladosporiaceae	Cladosporium	Cladosporium_colombiae	NR_119730	Cladosporium_pini-ponderosae	1.64e-141	499.0	99.288	100
b001fb61dd6f4db8b22dc8eeb9e3677e	NR_103583	76777	3.99e-169	590.0	100.0	100	327	False	candidate_available	Eukaryota	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_sympodialis						
b3eff3c2ad1ef978124d5f6e9bb038da	NR_077149	41067	6.8999999999999985e-140	493.0	99.281	100	278	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_candidus	NR_135396	Aspergillus_campestris	6.8999999999999985e-140	493.0	99.281	100
b51b5ed103b9c82d0f30382550327fbd	NR_138193	27293	2.27e-153	538.0	100.0	89	298	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Monosporozyma	Monosporozyma_servazzii						
b52eda8a4baa1b15ac8ec4d7522abcc8	NR_136959	86828	2.44e-152	535.0	99.666	100	299	False	candidate_available	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_ruberrimus	NR_137660	Sporobolomyces_phaffii	1.1800000000000001e-143	506.0	100.0	94
b68330710b2ee120d528ed1888de0c19	NR_077145	5076	1.62e-141	499.0	100.0	99	276	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	1.62e-141	499.0	100.0	99
b7af39848139236f0e6c6b805ac1e03a	NR_121481	746128	5.69e-141	498.0	99.643	100	280	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus						
b84c5ce7ffdb045632be2f6b94323dfe	NR_130667	129132	6.87e-140	494.0	99.64	100	278	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_dermatis						
b8bd3043d0b693dc6b5b7d4ae86033f9	NR_125332	5476	1.03e-124	443.0	100.0	93	245	False	candidate_available	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida_albicans						
c0447e340233bf2670ca6ce846b113ed	NR_130682	5207	1.35e-142	503.0	99.644	100	281	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_neoformans	NR_171785	Cryptococcus_neoformans	1.35e-142	503.0	99.644	100
c2b6527533c45ea91cdbd09c67e14420	NR_121299	5074	2.89e-138	489.0	99.636	100	275	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_brevicompactum	NR_138336	Penicillium_kongii	4.01e-130	461.0	100.0	93
c3ac7f9b16a282464bcef99f9a81543e	NR_077145	5076	6.87e-140	494.0	99.64	100	278	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_chrysogenum	NR_103695	Penicillium_flavigenum	6.87e-140	494.0	99.64	100
c41d0d22037e23e4eb1db6f53cd44bea	NR_130682	5207	1.35e-142	503.0	99.644	100	281	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Cryptococcus	Cryptococcus_neoformans	NR_171785	Cryptococcus_neoformans	1.35e-142	503.0	99.644	100
c49d0b7026b426e0ba1f838a9273ebf6	NR_136959	86828	5.74e-154	540.0	100.0	100	299	False	candidate_available	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	Sporobolomyces_ruberrimus	NR_137660	Sporobolomyces_phaffii	5.03e-142	501.0	99.643	94
c62cc042cc6a67f6ea1ed71ffd87d7c0	NR_121481	746128	1.63e-141	499.0	100.0	99	276	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_fumigatus						
c8505e875d51d986f896f036a5e618b9	NR_130691	5478	3.4200000000000008e-59	224.0	100.0	99	124	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Nakaseomyces	Nakaseomyces_glabratus	NR_077073	Nakaseomyces_nivariensis	3.4200000000000008e-59	224.0	100.0	91
c9a2dd5edf6fe21dc7d2e5b0e3e42e22	NR_154752	129131	1.33e-142	502.0	100.0	100	278	False	candidate_available	Eukaryota	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Cutaneotrichosporon	Cutaneotrichosporon_debeurmannianum						
cb10a86d6b17ba0f9f4c0db650f1d52c	NR_158281	1858585	2.66e-132	469.0	99.618	97	262	False	candidate_available	Eukaryota	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Vacuiphoma	Vacuiphoma_oculihominis	NR_156400	Neodidymella_thailandicum	1.38e-129	460.0	99.611	95
cba7e2526abc568cdf9b74db64253fcd	NR_073296	5537	1.83e-160	562.0	100.0	100	311	False	candidate_available	Eukaryota	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Rhodotorula	Rhodotorula_mucilaginosa	NR_153197	Rhodotorula_alborubescens	1.61e-148	523.0	99.658	94
cbc3861eff42f4b8102fa7270debb33b	NR_111257	4950	0.0	636.0	100.0	100	352	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora_delbrueckii						
cc08f8f31d340f9fcaa25592bf1a9325	NR_111475	76773	1.87e-161	565.0	100.0	82	313	False	candidate_available	Eukaryota	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_globosa						
cf67de0c1660116cbb49fdfe08f43ec7	NR_125332	5476	1.04e-124	443.0	100.0	92	245	False	candidate_available	Eukaryota	Ascomycota	Pichiomycetes	Serinales	Debaryomycetaceae	Candida	Candida_albicans						
d121c3d0e035fe1d0b878d54314a0f3f	NR_119812	70558	1.35e-142	503.0	99.644	100	281	False	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sumatraense	NR_198469	Penicillium_qii	1.64e-141	499.0	99.288	100
d15f326e40dfa3b854e7a256318ec321	NR_121299	5074	3.1700000000000003e-144	508.0	100.0	100	281	True	candidate_available	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_brevicompactum	NR_138336	Penicillium_kongii	3.1700000000000003e-144	508.0	100.0	100
d3cf17e7ddaf0b1aea15774633f30129	NR_103568	106018	2.95e-151	532.0	99.663	100	297	False	candidate_available	Eukaryota	Basidiomycota	Cystobasidiomycetes	Cystobasidiales	Cystobasidiaceae	Cystobasidium	Cystobasidium_slooffiae						
d6c8b47cc1bb5f8553022804cd24cea0	NR_111257	4950	0.0	631.0	99.716	100	352	False	candidate_available	Eukaryota	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Torulaspora	Torulaspora_delbrueckii						
